--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
026.692  000.656  000.140: require('vim.treesitter.languagetree')
026.700  001.044  000.388: require('vim.treesitter')
026.708  001.101  000.057: require('nvim-ts-autotag.utils')
026.714  001.147  000.046: require('nvim-ts-autotag.config.ft')
026.719  001.238  000.091: require('nvim-ts-autotag.config.plugin')
026.730  001.519  000.147: require('nvim-ts-autotag.internal')
026.734  001.999  000.481: require('nvim-ts-autotag')
027.077  000.097  000.097: require('nvim-treesitter.utils')
029.620  002.539  002.539: require('nvim-treesitter.parsers')
030.846  000.569  000.569: require('nvim-treesitter.compat')
031.958  000.813  000.813: require('nvim-treesitter.ts_utils')
031.983  001.131  000.318: require('nvim-treesitter.tsrange')
032.272  000.285  000.285: require('nvim-treesitter.caching')
032.288  002.240  000.256: require('nvim-treesitter.query')
032.308  002.476  000.235: require('nvim-treesitter.configs')
032.314  002.686  000.210: require('nvim-treesitter.info')
032.449  000.133  000.133: require('nvim-treesitter.shell_command_selectors')
032.485  005.672  000.218: require('nvim-treesitter.install')
032.599  000.075  000.075: require('nvim-treesitter.statusline')
032.686  000.083  000.083: require('nvim-treesitter.query_predicates')
032.690  005.953  000.122: require('nvim-treesitter')
032.695  008.030  000.077: sourcing /home/collins/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.lua
032.703  008.070  000.039: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
032.720  000.006  000.006: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
032.735  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
032.994  000.112  000.112: require('vim.iter')
034.315  001.503  001.391: sourcing /home/collins/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
034.332  001.562  000.059: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
034.348  000.005  000.005: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
034.378  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
034.601  000.215  000.215: require('core.treesitter')
036.944  000.098  000.098: require('nvim-treesitter.indent')
037.099  000.062  000.062: require('nvim-treesitter.locals')
037.105  000.130  000.068: require('nvim-treesitter.incremental_selection')
037.172  000.046  000.046: require('nvim-treesitter.highlight')
037.389  000.048  000.048: sourcing /home/collins/.local/share/nvim/lazy/nvim-treesitter/autoload/nvim_treesitter.vim
037.558  000.093  000.093: require('nvim-treesitter.fold')
037.904  000.006  000.006: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
037.915  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
038.143  000.004  000.004: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
038.152  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
038.571  000.072  000.072: sourcing /home/collins/.local/share/nvim/lazy/mason-tool-installer.nvim/plugin/mason-tool-installer.lua
038.578  000.114  000.043: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
038.586  000.003  000.003: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
038.598  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
039.368  000.032  000.032: require('mason-core.functional.data')
039.484  000.109  000.109: require('mason-core.functional.function')
039.541  000.050  000.050: require('mason-core.functional.list')
039.586  000.036  000.036: require('mason-core.functional.relation')
039.643  000.054  000.054: require('mason-core.functional.logic')
039.680  000.033  000.033: require('mason-core.functional.number')
039.721  000.036  000.036: require('mason-core.functional.string')
039.798  000.038  000.038: require('mason-core.functional.table')
039.835  000.032  000.032: require('mason-core.functional.type')
039.838  000.552  000.131: require('mason-core.functional')
039.871  000.032  000.032: require('mason-core.path')
039.932  000.059  000.059: require('mason.settings')
039.960  000.719  000.077: require('mason-core.log')
039.963  000.764  000.044: require('mason-core.EventEmitter')
040.095  000.089  000.089: require('mason-core.platform')
040.102  000.138  000.048: require('mason-core.installer.InstallLocation')
040.188  000.083  000.083: require('mason-registry.sources')
040.196  001.270  000.285: require('mason-registry')
040.247  000.048  000.048: require('mason.version')
040.263  001.608  000.289: require('mason-tool-installer')
040.419  000.074  000.074: require('mason-lspconfig.settings')
040.424  000.144  000.069: require('mason-lspconfig')
042.673  000.170  000.170: require('mason-nvim-dap.mappings.source')
042.717  000.009  000.009: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
042.728  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
042.806  000.072  000.072: require('mason')
043.186  000.133  000.133: require('mason.api.command')
043.284  000.080  000.080: require('mason-core.async')
043.492  000.151  000.151: require('mason-core.async.control')
